family,file,machine,arch,dotnet,upx,n_exec,max_entropy,tag
_upx_packed,AutoHotkey_2.0.27_setup.exe,0x14c,x86,0,1,1,8.00,upx
_upx_packed,Effects.dll,0x14c,x86,0,1,1,7.92,upx
_upx_packed,Icons.dll,0x14c,x86,0,1,1,7.82,upx
_upx_packed,Picocrypt.exe,0x8664,x64,0,1,1,8.00,upx
_upx_packed,atk-1.0-0.dll,0x14c,x86,0,1,1,7.86,upx
_upx_packed,brotlidec.dll,0x14c,x86,0,1,1,7.82,upx
_upx_packed,bz2.dll,0x14c,x86,0,1,1,7.87,upx
_upx_packed,cairo-gobject-2.dll,0x14c,x86,0,1,1,7.74,upx
_upx_packed,fribidi-0.dll,0x14c,x86,0,1,1,7.83,upx
_upx_packed,gio-2.0-0.dll,0x14c,x86,0,1,1,7.91,upx
_upx_packed,girepository-1.0-1.dll,0x14c,x86,0,1,1,7.86,upx
_upx_packed,girepository-2.0-0.dll,0x14c,x86,0,1,1,7.88,upx
_upx_packed,glib-2.0-0.dll,0x14c,x86,0,1,1,7.93,upx
_upx_packed,gmodule-2.0-0.dll,0x14c,x86,0,1,1,7.66,upx
_upx_packed,gtk-3-vs17.dll,0x14c,x86,0,1,1,7.92,upx
_upx_packed,harfbuzz-gobject.dll,0x14c,x86,0,1,1,7.83,upx
_upx_packed,harfbuzz.dll,0x14c,x86,0,1,1,7.91,upx
_upx_packed,libcrypto-3.dll,0x14c,x86,0,1,1,7.92,upx
_upx_packed,liblzma_8a42d94e.dll,0x14c,x86,0,1,1,7.89,upx
_upx_packed,libpng16.dll,0x14c,x86,0,1,1,7.90,upx
_upx_packed,pixbufloader-svg.dll,0x14c,x86,0,1,1,7.61,upx
_upx_packed,pywintypes312.dll,0x14c,x86,0,1,1,7.90,upx
_upx_packed,rufus-4.15.exe,0x8664,x64,0,1,1,8.00,upx
_upx_packed,tiff.dll,0x14c,x86,0,1,1,7.91,upx
everyday,ADExplorer64.exe,0x8664,x64,0,0,1,6.43,plain
everyday,ADInsight64.exe,0x8664,x64,0,0,1,6.42,plain
everyday,API-MS-Win-core-xstate-l2-1-0.dll,0x14c,x86,0,0,1,4.68,plain
everyday,AccessEnum.exe,0x14c,x86,0,0,1,6.64,plain
everyday,AccessibleMarshal.dll,0x8664,x64,0,0,2,5.91,plain
everyday,AdysTech.CredentialManager.dll,0x14c,x86,1,0,1,5.80,dotnet
everyday,AppInsights.WindowsDesktop.dll,0x14c,x86,1,0,1,6.57,dotnet
everyday,AutoHotkey_2.0.27_setup.exe,0x14c,x86,0,0,1,6.62,plain
everyday,Autologon64.exe,0x8664,x64,0,0,1,6.47,plain
everyday,Ben.Demystifier.dll,0x14c,x86,1,0,1,6.94,dotnet
everyday,Bginfo64.exe,0x8664,x64,0,0,1,6.41,plain
everyday,Bitwarden-Installer-2026.8.0.exe,0x14c,x86,0,0,1,6.52,plain
everyday,Brave_151.1.93.138_User_X64_exe_en-US.exe,0x14c,x86,0,0,1,6.64,plain
everyday,CM_FH_5d49acd_libpixbufloader_bmp.dll,0x8664,x64,0,0,1,6.19,plain
everyday,CM_FH_9940d7e_libpixbufloader_ani.dll,0x8664,x64,0,0,1,6.19,plain
everyday,CM_FH_e3544a7_libpixbufloader_tga.dll,0x8664,x64,0,0,1,6.20,plain
everyday,CM_FH_f8a3c06_libpixbufloader_avif.dll,0x8664,x64,0,0,1,5.99,plain
everyday,CM_FP_inkscape.bin.gdb.exe,0x8664,x64,0,0,1,6.26,plain
everyday,CM_FP_inkscape.bin.gdbus.exe,0x8664,x64,0,0,1,5.98,plain
everyday,CM_FP_inkscape.bin.inkview.exe,0x8664,x64,0,0,1,5.98,plain
everyday,CM_FP_inkscape.bin.libGraphicsMagick_3.dll,0x8664,x64,0,0,1,6.36,plain
everyday,CM_FP_inkscape.bin.libSvtAv1Enc_3.dll,0x8664,x64,0,0,2,6.57,plain
everyday,CM_FP_inkscape.bin.libaom.dll,0x8664,x64,0,0,1,6.30,plain
everyday,CM_FP_inkscape.bin.libbrotlicommon.dll,0x8664,x64,0,0,1,6.31,plain
everyday,CM_FP_inkscape.bin.libcairo_2.dll,0x8664,x64,0,0,1,6.28,plain
everyday,CM_FP_inkscape.bin.libcairo_gobject_2.dll,0x8664,x64,0,0,1,5.85,plain
