stage,config_id,dataset,variant,row_align,crops,tta,lr,weight_decay,batch_size,epochs,patience,warmup_epochs,schedule,grad_clip,label_smoothing,loss,focal_gamma,sampler,amp,monitor,dropout,drop_path,width,depth,heads,mlp_ratio,aug_p,aug_max_shift,threshold,seed,device,folds,cv_macro_f1,cv_balanced_accuracy,cv_accuracy,cv_recall_goodware,cv_recall_ransomware,cv_macro_f1_at_0.5,cv_macro_f1_nested_thr,cv_balanced_accuracy_nested_thr,cv_auc,threshold_used,threshold_refit_all_oof,threshold_nested,cv_n,epochs_mean,seconds_per_epoch,seconds_total,wall_seconds
encoding,encoding_001,balanced,head3,False,1,False,0.0003,0.01,16,80,8,5,cosine,1.0,0.15,ce,2.0,class,bf16,val_loss,0.15,0.0,32,6,8,2.0,0.4,0.2,argmax,1337,cuda,3,0.752280641751135,0.7495681566999817,0.7649975210708974,0.8984725965858041,0.6006637168141593,0.752280641751135,0.6883386660837076,0.6883780979414641,0.776635140614937,0.5,0.5815,0.582;0.352;0.131,2017,17.333333333333332,2.500214099884033,127.18772482872009,130.1
encoding,encoding_002,balanced,stride3,False,1,False,0.0003,0.01,16,80,8,5,cosine,1.0,0.15,ce,2.0,class,bf16,val_loss,0.15,0.0,32,6,8,2.0,0.4,0.2,argmax,1337,cuda,3,0.810003014329966,0.8108029403112054,0.8116013882002975,0.8185085354896675,0.8030973451327433,0.810003014329966,0.8011230432580366,0.7994244408399527,0.8641358363348679,0.5,0.6199,0.697;0.620;0.597,2017,15.333333333333334,2.564203143119812,117.77935981750488,118.8
encoding,encoding_003,balanced,mnem1,False,1,False,0.0003,0.01,16,80,8,5,cosine,1.0,0.15,ce,2.0,class,bf16,val_loss,0.15,0.0,32,6,8,2.0,0.4,0.2,argmax,1337,cuda,3,0.7927604201601086,0.7905048143819224,0.797223599405057,0.8553459119496856,0.7256637168141593,0.7927604201601086,0.7646250751118746,0.7642776638122272,0.8558135351318688,0.5,0.475,0.509;0.475;0.254,2017,16.0,2.3950973749160767,113.90155577659607,114.9
encoding,encoding_004,balanced,mnem1s,False,1,False,0.0003,0.01,16,80,8,5,cosine,1.0,0.15,ce,2.0,class,bf16,val_loss,0.15,0.0,32,6,8,2.0,0.4,0.2,argmax,1337,cuda,3,0.8064264592093189,0.80495541429128,0.8096182449181953,0.8499550763701708,0.7599557522123894,0.8064264592093189,0.7887463927174676,0.7899278637820131,0.8490407016037338,0.5,0.5663,0.566;0.566;0.273,2017,16.333333333333332,2.3116166591644287,99.24751114845276,100.1
encoding,encoding_001,balanced,head3,True,1,False,0.0003,0.01,16,80,8,5,cosine,1.0,0.15,ce,2.0,class,bf16,val_loss,0.15,0.0,32,6,8,2.0,0.4,0.2,argmax,1337,cuda,3,0.7616917724398198,0.7586279210298246,0.7714427367377293,0.8823000898472596,0.6349557522123894,0.7616917724398198,0.7715334218112854,0.7698374599464097,0.7963394198888438,0.5,0.4091,0.409;0.409;0.326,2017,14.666666666666666,2.666420578956604,120.65847563743591,123.7
encoding,encoding_002,balanced,crop3,False,4,True,0.0003,0.01,16,80,8,5,cosine,1.0,0.15,ce,2.0,class,bf16,val_loss,0.15,0.0,32,6,8,2.0,0.4,0.2,argmax,1337,cuda,3,0.7927455815865188,0.78887186031534,0.8006941001487358,0.9029649595687331,0.6747787610619469,0.7927455815865188,0.7772285767115859,0.777552000095413,0.870048958805429,0.5,0.3935,0.139;0.471;0.394,2017,23.0,2.9709320068359375,211.43632912635803,214.8
optim,optim_003,balanced,head3,False,1,False,0.0001,0.01,16,80,8,5,cosine,1.0,0.15,ce,2.0,class,bf16,val_loss,0.15,0.0,32,6,8,2.0,0.4,0.2,argmax,1337,cuda,3,0.7891791907750803,0.7854156230867702,0.797223599405057,0.89937106918239,0.6714601769911505,0.7891791907750803,0.7937180401028916,0.7893861961214608,0.8118986992025062,0.5,0.7198,0.720;0.720;0.734,2017,18.666666666666668,2.504947304725647,141.170095205307,142.1
optim,optim_004,balanced,head3,False,1,False,0.0006,0.01,16,80,8,5,cosine,1.0,0.15,ce,2.0,class,bf16,val_loss,0.15,0.0,32,6,8,2.0,0.4,0.2,argmax,1337,cuda,3,0.750658444643064,0.7479789336004898,0.7630143777887952,0.8930817610062893,0.6028761061946902,0.750658444643064,0.7406864904938371,0.738269665020792,0.7934278319776734,0.5,0.2763,0.698;0.717;0.249,2017,18.0,2.4204570055007935,131.08053541183472,132.1
optim,optim_005,balanced,head3,False,1,False,0.001,0.01,16,80,8,5,cosine,1.0,0.15,ce,2.0,class,bf16,val_loss,0.15,0.0,32,6,8,2.0,0.4,0.2,argmax,1337,cuda,3,0.7891302361932988,0.7858335519881687,0.7957362419434805,0.8814016172506739,0.6902654867256637,0.7891302361932988,0.7911896581785904,0.7922779063203174,0.8532224753317589,0.5,0.179,0.179;0.206;0.181,2017,14.333333333333334,2.3812026977539062,102.46932697296143,103.4
optim,optim_006,balanced,head3,False,1,False,0.003,0.01,16,80,8,5,cosine,1.0,0.15,ce,2.0,class,bf16,val_loss,0.15,0.0,32,6,8,2.0,0.4,0.2,argmax,1337,cuda,3,0.8033529061226505,0.799484570919702,0.8101140307387209,0.9020664869721473,0.6969026548672567,0.8033529061226505,0.7987202538578771,0.7963110941487966,0.8115155562976567,0.5,0.2916,0.365;0.278;0.292,2017,29.333333333333332,3.2287492752075195,289.0067582130432,290.6
