stage,config_id,dataset,variant,row_align,crops,tta,lr,weight_decay,batch_size,epochs,patience,warmup_epochs,schedule,grad_clip,label_smoothing,loss,focal_gamma,sampler,amp,monitor,dropout,drop_path,width,depth,heads,mlp_ratio,aug_p,aug_max_shift,threshold,seed,device,folds,cv_macro_f1,cv_balanced_accuracy,cv_accuracy,cv_recall_goodware,cv_recall_ransomware,cv_macro_f1_at_0.5,cv_macro_f1_nested_thr,cv_balanced_accuracy_nested_thr,cv_auc,threshold_used,threshold_refit_all_oof,threshold_nested,cv_n,epochs_mean,seconds_per_epoch,seconds_total,wall_seconds
encoding,encoding_001,mendeley,head3,False,1,False,0.0003,0.01,16,80,8,5,cosine,1.0,0.15,ce,2.0,class,bf16,val_loss,0.15,0.0,32,6,8,2.0,0.4,0.2,argmax,1337,cuda,3,0.7273612665872873,0.7282454997537376,0.7294350842418236,0.7396768402154399,0.7168141592920354,0.7273612665872873,0.7016555318812434,0.7104093516150045,0.7985434772247026,0.5,0.569,0.569;0.271;0.569,2018,16.333333333333332,2.5363078117370605,121.75450992584229,124.7
encoding,encoding_002,mendeley,stride3,False,1,False,0.0003,0.01,16,80,8,5,cosine,1.0,0.15,ce,2.0,class,bf16,val_loss,0.15,0.0,32,6,8,2.0,0.4,0.2,argmax,1337,cuda,3,0.6767804247353846,0.685114829761205,0.7120911793855302,0.9443447037701975,0.4258849557522124,0.6767804247353846,0.6261144775187855,0.6305091275956849,0.7275260760076897,0.5,0.287,0.287;0.287;0.182,2018,15.333333333333334,2.6297308206558228,119.83425068855286,121.0
encoding,encoding_003,mendeley,mnem1,False,1,False,0.0003,0.01,16,80,8,5,cosine,1.0,0.15,ce,2.0,class,bf16,val_loss,0.15,0.0,32,6,8,2.0,0.4,0.2,argmax,1337,cuda,3,0.6540813149711681,0.6541979790597544,0.6575817641228939,0.6867145421903053,0.6216814159292036,0.6540813149711681,0.6137478900409934,0.6134683672010295,0.6954032347754247,0.5,0.5117,0.558;0.294;0.510,2018,13.0,2.474999189376831,96.84748268127441,97.9
encoding,encoding_004,mendeley,mnem1s,False,1,False,0.0003,0.01,16,80,8,5,cosine,1.0,0.15,ce,2.0,class,bf16,val_loss,0.15,0.0,32,6,8,2.0,0.4,0.2,argmax,1337,cuda,3,0.626042684096155,0.6259671756089036,0.6303270564915758,0.6678635547576302,0.584070796460177,0.626042684096155,0.5967811165150569,0.5980759759139511,0.6924321984080329,0.5,0.3191,0.625;0.243;0.455,2018,13.333333333333334,2.456370234489441,97.53577971458435,98.7
encoding,encoding_001,mendeley,head3,True,1,False,0.0003,0.01,16,80,8,5,cosine,1.0,0.15,ce,2.0,class,bf16,val_loss,0.15,0.0,32,6,8,2.0,0.4,0.2,argmax,1337,cuda,3,0.7255023424882798,0.7237402885241735,0.7388503468780971,0.8689407540394973,0.5785398230088495,0.7255023424882798,0.7350972127010984,0.736333431308686,0.8065415428734847,0.5,0.3141,0.310;0.328;0.301,2018,14.0,2.754586100578308,118.38443183898926,122.3
encoding,encoding_002,mendeley,crop3,False,4,True,0.0003,0.01,16,80,8,5,cosine,1.0,0.15,ce,2.0,class,bf16,val_loss,0.15,0.0,32,6,8,2.0,0.4,0.2,argmax,1337,cuda,3,0.6938564088176769,0.6937777045169286,0.7106045589692765,0.855475763016158,0.5320796460176991,0.6938564088176769,0.6773319928806774,0.676567142244324,0.7715464681209387,0.5,0.1965,0.166;0.178;0.391,2018,19.666666666666668,3.0872132778167725,188.31486129760742,191.7
optim,optim_003,mendeley,head3,False,1,False,0.0001,0.01,16,80,8,5,cosine,1.0,0.15,ce,2.0,class,bf16,val_loss,0.15,0.0,32,6,8,2.0,0.4,0.2,argmax,1337,cuda,3,0.6789178932721103,0.6788619500802339,0.6942517343904856,0.8267504488330341,0.5309734513274337,0.6789178932721103,0.5969880401109318,0.5999934462433072,0.7481892764652611,0.5,0.5021,0.221;0.219;0.581,2018,14.666666666666666,2.60521137714386,115.86572504043579,117.0
optim,optim_004,mendeley,head3,False,1,False,0.0006,0.01,16,80,8,5,cosine,1.0,0.15,ce,2.0,class,bf16,val_loss,0.15,0.0,32,6,8,2.0,0.4,0.2,argmax,1337,cuda,3,0.721509548997314,0.7198050555281931,0.734390485629336,0.8599640933572711,0.5796460176991151,0.721509548997314,0.7301734135592758,0.7303446878823026,0.8140922649783131,0.5,0.2686,0.209;0.319;0.269,2018,17.0,2.4753620624542236,127.3844792842865,128.5
optim,optim_005,mendeley,head3,False,1,False,0.001,0.01,16,80,8,5,cosine,1.0,0.15,ce,2.0,class,bf16,val_loss,0.15,0.0,32,6,8,2.0,0.4,0.2,argmax,1337,cuda,3,0.6549798431757036,0.6558175513576207,0.6714568880079287,0.8061041292639138,0.5055309734513275,0.6549798431757036,0.7171507714515508,0.7200076261896062,0.7650661929425969,0.5,0.2942,0.294;0.297;0.329,2018,14.333333333333334,2.458564519882202,106.10503625869751,107.2
optim,optim_006,mendeley,head3,False,1,False,0.003,0.01,16,80,8,5,cosine,1.0,0.15,ce,2.0,class,bf16,val_loss,0.15,0.0,32,6,8,2.0,0.4,0.2,argmax,1337,cuda,3,0.6581849758988851,0.6574401026358018,0.6674925668979187,0.7540394973070018,0.5608407079646017,0.6581849758988851,0.6545686980534697,0.6538494383629112,0.7067367653834543,0.5,0.5358,0.413;0.532;0.536,2018,15.666666666666666,2.4579663276672363,123.62399506568909,124.7
