cv_rank,track,tokenizer,vocab_size,sampling,budget,ngram,embedding,w2v,pooling,n_features,classifier,clf_params,weighting,cv_macro_f1,cv_balanced_accuracy,cv_roc_auc,cv_macro_f1_bal_threshold,cv_macro_f1_f1_threshold,cv_macro_f1_fold_std,threshold,threshold_rule,oof_threshold_bal_rule,oof_threshold_f1_rule,spec
1,tfidf,SW,,head,50000,1-3,tfidf,,,87269,LogReg,"{""C"": ""0.1"", ""class_weight"": ""balanced""}",none,0.947371,0.947138,0.979244,0.943904,0.94638,0.014679,0.5,default,0.50123637,0.50123637,"LogReg(C=0.1,class_weight=balanced)|w=none"
2,tfidf,SW,,head,20000,1-3,tfidf,,,65244,LogReg,"{""C"": ""1.0"", ""class_weight"": ""balanced""}",none,0.943592,0.941494,0.986937,0.936917,0.94574,0.015515,0.5,default,0.44403393,0.44403393,"LogReg(C=1.0,class_weight=balanced)|w=none"
3,tfidf,SW,,head,20000,1-3,tfidf,,,65244,LinearSVC,"{""C"": ""0.1"", ""class_weight"": ""balanced""}",none,0.942043,0.93973,0.986829,0.939884,0.948208,0.014963,0.0,default,-0.04936586,-0.04936586,"LinearSVC(C=0.1,class_weight=balanced)|w=none"
4,tfidf,SW,,head,50000,1-3,tfidf,,,87269,LinearSVC,"{""C"": ""0.01"", ""class_weight"": ""balanced""}",none,0.941774,0.94095,0.979039,0.948902,0.948902,0.019863,0.0,default,-0.01913132,-0.01913132,"LinearSVC(C=0.01,class_weight=balanced)|w=none"
5,tfidf,SW,,head,20000,1-3,tfidf,,,65244,LogReg,"{""C"": ""1.0"", ""class_weight"": ""None""}",none,0.939484,0.936965,0.986825,0.937919,0.946248,0.018152,0.5,default,0.40804111,0.40804111,"LogReg(C=1.0,class_weight=None)|w=none"
6,tfidf,SW,,head,20000,1-3,tfidf,,,65244,LogReg,"{""C"": ""0.1"", ""class_weight"": ""balanced""}",none,0.938281,0.937599,0.981084,0.938944,0.931796,0.015336,0.5,default,0.44519178,0.44519178,"LogReg(C=0.1,class_weight=balanced)|w=none"
7,tfidf,SW,,head,20000,1-3,tfidf,,,65244,LogReg,"{""C"": ""10.0"", ""class_weight"": ""balanced""}",none,0.937895,0.934993,0.987479,0.935929,0.935929,0.016962,0.5,default,0.10094563,0.10094563,"LogReg(C=10.0,class_weight=balanced)|w=none"
8,tfidf,SW,,head,20000,1-3,tfidf,,,65244,LinearSVC,"{""C"": ""0.01"", ""class_weight"": ""balanced""}",none,0.937191,0.935972,0.981094,0.938474,0.932319,0.016928,0.0,default,-0.10265963,-0.10265963,"LinearSVC(C=0.01,class_weight=balanced)|w=none"
9,tfidf,SW,,head,50000,1-3,tfidf,,,87269,LogReg,"{""C"": ""1.0"", ""class_weight"": ""balanced""}",none,0.936475,0.934063,0.986774,0.949839,0.949839,0.021303,0.5,default,0.43124073,0.43124073,"LogReg(C=1.0,class_weight=balanced)|w=none"
10,tfidf,SW,,head,50000,1-3,tfidf,,,87269,LinearSVC,"{""C"": ""0.1"", ""class_weight"": ""balanced""}",none,0.935415,0.932749,0.987355,0.948983,0.947963,0.020712,0.0,default,-0.19947716,-0.19947716,"LinearSVC(C=0.1,class_weight=balanced)|w=none"
11,tfidf,SW,,head,20000,1-3,tfidf,,,65244,LinearSVC,"{""C"": ""0.1"", ""class_weight"": ""None""}",none,0.932256,0.929013,0.987,0.936917,0.948705,0.018458,0.0,default,-0.086537,-0.086537,"LinearSVC(C=0.1,class_weight=None)|w=none"
12,tfidf,SW,,head,20000,1-2,tfidf,,,11867,LogReg,"{""C"": ""0.1"", ""class_weight"": ""balanced""}",none,0.931162,0.92996,0.976331,0.937486,0.937486,0.021002,0.5,default,0.44058316,0.44058316,"LogReg(C=0.1,class_weight=balanced)|w=none"
13,tfidf,SW,,head,50000,1-3,tfidf,,,87269,LogReg,"{""C"": ""1.0"", ""class_weight"": ""None""}",none,0.929718,0.926456,0.986788,0.943397,0.940729,0.023171,0.5,default,0.34811643,0.34811643,"LogReg(C=1.0,class_weight=None)|w=none"
14,tfidf,SW,,head,20000,1-3,tfidf,,,65244,LogReg,"{""C"": ""1.0"", ""class_weight"": ""None""}",class_arch,0.929678,0.926247,0.986805,0.938932,0.94827,0.028829,0.5,default,0.41476439,0.41476439,"LogReg(C=1.0,class_weight=None)|w=class_arch"
15,tfidf,SW,,head,20000,1-3,tfidf,,,65244,LinearSVC,"{""C"": ""0.01"", ""class_weight"": ""None""}",none,0.929657,0.926143,0.98166,0.938944,0.93229,0.030247,0.0,default,-0.16180289,-0.16180289,"LinearSVC(C=0.01,class_weight=None)|w=none"
16,tfidf,SW,,head,50000,1-2,tfidf,,,15661,LogReg,"{""C"": ""1.0"", ""class_weight"": ""balanced""}",none,0.929341,0.926633,0.983619,0.928601,0.932405,0.016964,0.5,default,0.35114393,0.44674324,"LogReg(C=1.0,class_weight=balanced)|w=none"
17,tfidf,SW,,strided,20000,1-2,tfidf,,,15832,LinearSVC,"{""C"": ""0.1"", ""class_weight"": ""balanced""}",none,0.929321,0.926528,0.983118,0.927071,0.930123,0.028156,0.0,default,-0.14825409,-0.14825409,"LinearSVC(C=0.1,class_weight=balanced)|w=none"
18,tfidf,SW,,head,20000,1-3,tfidf,,,65244,LogReg,"{""C"": ""0.1"", ""class_weight"": ""None""}",none,0.929161,0.925694,0.981142,0.938944,0.931796,0.032064,0.5,default,0.41277525,0.41277525,"LogReg(C=0.1,class_weight=None)|w=none"
19,tfidf,SW,,head,20000,1-3,tfidf,,,65244,LogReg,"{""C"": ""10.0"", ""class_weight"": ""None""}",none,0.928043,0.924171,0.987755,0.934394,0.934394,0.013317,0.5,default,0.09075168,0.22711721,"LogReg(C=10.0,class_weight=None)|w=none"
20,tfidf,SW,,head,20000,1-2,tfidf,,,11867,LogReg,"{""C"": ""1.0"", ""class_weight"": ""balanced""}",none,0.927221,0.924107,0.98474,0.925132,0.931539,0.024387,0.5,default,0.43502271,0.43502271,"LogReg(C=1.0,class_weight=balanced)|w=none"
21,w2v,SW,,head,20000,1-1,w2v,"dim=300,window=5,epochs=5,min_count=1",mean_max,300,MLP,"{""alpha"": ""0.01"", ""early_stopping"": ""False"", ""hidden_layer_sizes"": ""(500,)"", ""learning_rate_init"": ""0.001""}",none,0.927095,0.923482,0.945981,0.921244,0.922232,0.029543,0.5,default,0.40510494,0.51471253,"MLP(alpha=0.01,early_stopping=False,hidden_layer_sizes=(500,),learning_rate_init=0.001)|w=none"
22,tokenizer,WP,,head,20000,1-1,tfidf,,,11406,LogReg,"{""C"": ""1.0"", ""class_weight"": ""balanced""}",none,0.926705,0.923554,0.984606,0.939725,0.939725,0.028068,0.5,default,0.43170168,0.43170168,"LogReg(C=1.0,class_weight=balanced)|w=none"
23,tfidf,SW,,head,50000,1-3,tfidf,,,87269,LogReg,"{""C"": ""10.0"", ""class_weight"": ""None""}",none,0.926422,0.922199,0.988652,0.946368,0.946368,0.019916,0.5,default,0.17926154,0.17926154,"LogReg(C=10.0,class_weight=None)|w=none"
24,tfidf,SW,,head,50000,1-3,tfidf,,,87269,LinearSVC,"{""C"": ""0.1"", ""class_weight"": ""None""}",none,0.926126,0.922689,0.987637,0.950498,0.947973,0.020884,0.0,default,-0.2402414,-0.2402414,"LinearSVC(C=0.1,class_weight=None)|w=none"
25,tfidf,SW,,head,50000,1-3,tfidf,,,87269,LogReg,"{""C"": ""10.0"", ""class_weight"": ""balanced""}",none,0.925971,0.921959,0.988395,0.950965,0.952948,0.021564,0.5,default,0.22454354,0.22454354,"LogReg(C=10.0,class_weight=balanced)|w=none"
