cv_rank,track,tokenizer,vocab_size,sampling,budget,ngram,embedding,w2v,pooling,n_features,classifier,clf_params,weighting,cv_macro_f1,cv_balanced_accuracy,cv_roc_auc,cv_macro_f1_bal_threshold,cv_macro_f1_f1_threshold,cv_macro_f1_fold_std,threshold,threshold_rule,oof_threshold_bal_rule,oof_threshold_f1_rule,spec
1,tfidf,SW,,strided,50000,1-1,tfidf,,,859,LinearSVC,"{""C"": ""0.1"", ""class_weight"": ""balanced""}",none,0.923711,0.923275,0.957496,0.921669,0.921669,0.040322,0.0,default,-0.01140459,-0.01140459,"LinearSVC(C=0.1,class_weight=balanced)|w=none"
2,w2v,SW,,strided,5000,1-1,w2v,"dim=300,window=10,epochs=20,min_count=1",mean_max,300,SVM-RBF,"{""C"": ""10.0"", ""class_weight"": ""balanced"", ""gamma"": ""scale""}",none,0.92315,0.922411,0.955366,0.929413,0.929413,0.026614,0.0,default,-0.17786501,-0.17786501,"SVM-RBF(C=10.0,class_weight=balanced,gamma=scale)|w=none"
3,w2v,SW,,strided,5000,1-1,w2v,"dim=300,window=10,epochs=20,min_count=1",mean_max,300,MLP,"{""alpha"": ""0.001"", ""early_stopping"": ""True"", ""hidden_layer_sizes"": ""(256, 128)"", ""learning_rate_init"": ""0.001""}",none,0.922214,0.921822,0.957577,0.919271,0.919271,0.030132,0.5,default,0.4658093,0.4658093,"MLP(alpha=0.001,early_stopping=True,hidden_layer_sizes=(256, 128),learning_rate_init=0.001)|w=none"
4,tfidf,SW,,head,50000,1-3,tfidf,,,105872,LinearSVC,"{""C"": ""0.1"", ""class_weight"": ""None""}",none,0.92058,0.917509,0.966312,0.899531,0.901473,0.04852,0.0,default,-0.20189795,-0.18125991,"LinearSVC(C=0.1,class_weight=None)|w=none"
5,tfidf,SW,,head,50000,1-3,tfidf,,,105872,LogReg,"{""C"": ""1.0"", ""class_weight"": ""None""}",none,0.920152,0.91737,0.962634,0.897634,0.895489,0.045045,0.5,default,0.34527743,0.34527743,"LogReg(C=1.0,class_weight=None)|w=none"
6,tfidf,SW,,head,50000,1-3,tfidf,,,105872,LogReg,"{""C"": ""10.0"", ""class_weight"": ""None""}",none,0.918504,0.913677,0.969151,0.914109,0.914109,0.041874,0.5,default,0.18024925,0.18024925,"LogReg(C=10.0,class_weight=None)|w=none"
7,w2v,SW,,strided,5000,1-1,w2v,"dim=300,window=10,epochs=20,min_count=1",mean_max,300,MLP,"{""alpha"": ""0.01"", ""early_stopping"": ""False"", ""hidden_layer_sizes"": ""(500,)"", ""learning_rate_init"": ""0.001""}",none,0.918014,0.916777,0.95584,0.895197,0.896671,0.021772,0.5,default,0.52707316,0.52707316,"MLP(alpha=0.01,early_stopping=False,hidden_layer_sizes=(500,),learning_rate_init=0.001)|w=none"
8,w2v,SW,,strided,20000,1-1,w2v,"dim=100,window=30,epochs=5,min_count=1",mean_max,100,MLP,"{""alpha"": ""0.0001"", ""early_stopping"": ""True"", ""hidden_layer_sizes"": ""(500,)"", ""learning_rate_init"": ""0.001""}",none,0.917444,0.91836,0.954576,0.920323,0.920172,0.02056,0.5,default,0.58798694,0.58798694,"MLP(alpha=0.0001,early_stopping=True,hidden_layer_sizes=(500,),learning_rate_init=0.001)|w=none"
9,tfidf,SW,,strided,50000,1-2,tfidf,,,28986,LinearSVC,"{""C"": ""0.1"", ""class_weight"": ""balanced""}",none,0.916373,0.9146,0.959985,0.910406,0.910406,0.040715,0.0,default,-0.23501271,-0.23501271,"LinearSVC(C=0.1,class_weight=balanced)|w=none"
10,tfidf,SW,,head,50000,1-3,tfidf,,,105872,LinearSVC,"{""C"": ""0.1"", ""class_weight"": ""balanced""}",none,0.9162,0.913773,0.965696,0.894156,0.899554,0.04504,0.0,default,-0.17783209,-0.14594895,"LinearSVC(C=0.1,class_weight=balanced)|w=none"
11,tfidf,SW,,head,50000,1-3,tfidf,,,105872,LogReg,"{""C"": ""10.0"", ""class_weight"": ""balanced""}",none,0.916026,0.911429,0.966716,0.90167,0.896937,0.049689,0.5,default,0.15339707,0.15339707,"LogReg(C=10.0,class_weight=balanced)|w=none"
