dataset,construction,representation,model,rep_kind,model_name,labelling,h,edge_labels,norm,min_df,with_size,max_blocks,windows,calls,cross_section,extern,arch_weight,dim,n_features,n_train,cv_macro_f1,cv_macro_f1_foldmean,cv_macro_f1_foldstd,cv_balanced_acc,cv_auc,cv_macro_f1_at_oof_thr,cv_balanced_acc_at_oof_thr,oof_threshold_f1,oof_threshold_ba,seconds,stage
mendeley,b5000/w1/calls1/xs0/ext0,wl_tfidf/class/h2/el0/tfidf/df5/size0,LR(C=1.0),wl_tfidf,LR,class,2,False,tfidf,5,False,5000,1,True,False,False,False,128,323403,2018,0.9199954344575729,0.9198324338473111,0.03576706415061778,0.9148319457905022,0.9872171954687723,0.9689529833087173,0.9691486868654773,0.37684243690918046,0.37684243690918046,8.5,0_baseline
mendeley,b5000/w1/calls1/xs0/ext0,size_only/class/h2/el0/tfidf/df5/size0,LR(C=1.0),size_only,LR,class,2,False,tfidf,5,False,5000,1,True,False,False,False,128,22,2018,0.7538543979217313,0.7475215899632541,0.09815872384173056,0.7510009373858058,0.8328970782161073,0.7755067155488803,0.7779746111437695,0.3232213409138108,0.3232213409138108,1.0,0_baseline
mendeley,b5000/w1/calls1/xs0/ext0,wl_tfidf/class/h2/el0/tfidf/df3/size0,LR(C=1.0),wl_tfidf,LR,class,2,False,tfidf,3,False,5000,1,True,False,False,False,128,510533,2018,0.8857463602912639,0.8851085484157875,0.04926085133406424,0.8788081298358781,0.986675021051461,0.9719854790937226,0.9726757995583166,0.3703406214728922,0.3703406214728922,7.9,1_construction
mendeley,b20000/w1/calls1/xs0/ext0,wl_tfidf/class/h2/el0/tfidf/df3/size0,LR(C=1.0),wl_tfidf,LR,class,2,False,tfidf,3,False,20000,1,True,False,False,False,128,863002,2018,0.8267631535077989,0.819614781885587,0.11365113877519929,0.8203883398738501,0.9856909645541062,0.9690132668669114,0.9701913299756915,0.3544885612576424,0.3544885612576424,13.9,1_construction
mendeley,b5000/w1/calls1/xs1/ext0,wl_tfidf/class/h2/el0/tfidf/df3/size0,LR(C=1.0),wl_tfidf,LR,class,2,False,tfidf,3,False,5000,1,True,True,False,False,128,510525,2018,0.8862872622062669,0.885647355839199,0.04912709862032377,0.8793612271810107,0.9866492032220653,0.9719854790937226,0.9726757995583166,0.3708912497809072,0.3708912497809072,8.2,1_construction
mendeley,b5000/w1/calls1/xs0/ext1,wl_tfidf/class/h2/el0/tfidf/df3/size0,LR(C=1.0),wl_tfidf,LR,class,2,False,tfidf,3,False,5000,1,True,False,True,False,128,521481,2018,0.8981568709014387,0.8971963947221457,0.05396080574343559,0.8916336330849526,0.987278761061947,0.9700128389034626,0.9711932603549356,0.3679015480660533,0.3679015480660533,8.6,1_construction
mendeley,b5000/w1/calls0/xs0/ext1,wl_tfidf/class/h2/el0/tfidf/df3/size0,LR(C=1.0),wl_tfidf,LR,class,2,False,tfidf,3,False,5000,1,False,False,True,False,128,462065,2018,0.8518268865287145,0.8448386108305834,0.11507626341219993,0.8448288873707123,0.9852252506315439,0.96798340467854,0.9687405665623361,0.3757393630830703,0.35846117729709887,7.8,1_construction
mendeley,b5000/w4/calls1/xs0/ext1,wl_tfidf/class/h2/el0/tfidf/df3/size0,LR(C=1.0),wl_tfidf,LR,class,2,False,tfidf,3,False,5000,4,True,False,True,False,128,517782,2018,0.8961807253463733,0.8955142655335944,0.050382703145701244,0.8898383009485074,0.9859838976184045,0.964047639549972,0.9657029996345784,0.3254459702123153,0.3254459702123153,10.3,1_construction
mendeley,b5000/w1/calls1/xs0/ext1,wl_tfidf/class/h2/el1/tfidf/df3/size0,LR(C=1.0),wl_tfidf,LR,class,2,True,tfidf,3,False,5000,1,True,False,True,False,128,535778,2018,0.8792852424454113,0.8785305877095668,0.05157835346372894,0.8722752260053066,0.9866343083204908,0.9719854790937226,0.9726757995583166,0.3796537035346075,0.3796537035346075,7.7,1_construction
mendeley,b5000/w1/calls1/xs0/ext1,wl_tfidf/class/h1/el0/tfidf/df3/size0,LR(C=1.0),wl_tfidf,LR,class,1,False,tfidf,3,False,5000,1,True,False,True,False,128,203521,2018,0.8881837163097097,0.887437069807096,0.05129009918760134,0.8816461050825376,0.9819304984032665,0.9580910450240904,0.9602852274352172,0.30927211487618095,0.2933320542242735,6.6,2_labelling
mendeley,b5000/w1/calls1/xs0/ext1,wl_tfidf/class/h2/el0/tfidf/df3/size0,LR(C=1.0),wl_tfidf,LR,class,2,False,tfidf,3,False,5000,1,True,False,True,False,128,521481,2018,0.8981568709014387,0.8971963947221457,0.05396080574343559,0.8916336330849526,0.987278761061947,0.9700128389034626,0.9711932603549356,0.3679015480660533,0.3679015480660533,2.0,2_labelling
mendeley,b5000/w1/calls1/xs0/ext1,wl_tfidf/class/h3/el0/tfidf/df3/size0,LR(C=1.0),wl_tfidf,LR,class,3,False,tfidf,3,False,5000,1,True,False,True,False,128,848204,2018,0.9198297534233404,0.9194828425388298,0.043131616733062664,0.9142063599243736,0.9898108943296103,0.9729859976975181,0.9736777299375605,0.38567892465298775,0.38567892465298775,2.9,2_labelling
mendeley,b5000/w1/calls1/xs0/ext1,wl_tfidf/class/h4/el0/tfidf/df3/size0,LR(C=1.0),wl_tfidf,LR,class,4,False,tfidf,3,False,5000,1,True,False,True,False,128,1174637,2018,0.923994253854167,0.9237652558836723,0.03941528392308398,0.9185268743744142,0.9910064584293227,0.9749358367356673,0.9746389475858344,0.4243974100969918,0.4243974100969918,3.8,2_labelling
mendeley,b5000/w1/calls1/xs0/ext1,wl_tfidf/class_noflag/h1/el0/tfidf/df3/size0,LR(C=1.0),wl_tfidf,LR,class_noflag,1,False,tfidf,3,False,5000,1,True,False,True,False,128,199156,2018,0.8940835717277625,0.8932833297675057,0.05111969066081452,0.8877301758789977,0.9820436996552326,0.9580910450240904,0.9602852274352172,0.3090053134855655,0.2899396533194658,6.6,2_labelling
mendeley,b5000/w1/calls1/xs0/ext1,wl_tfidf/class_noflag/h2/el0/tfidf/df3/size0,LR(C=1.0),wl_tfidf,LR,class_noflag,2,False,tfidf,3,False,5000,1,True,False,True,False,128,516804,2018,0.8992251459157352,0.8984266950839903,0.04876736581253082,0.8927398277752181,0.9871268330658871,0.9700128389034626,0.9711932603549356,0.3678969736208655,0.3678969736208655,2.0,2_labelling
mendeley,b5000/w1/calls1/xs0/ext1,wl_tfidf/class_noflag/h3/el0/tfidf/df3/size0,LR(C=1.0),wl_tfidf,LR,class_noflag,3,False,tfidf,3,False,5000,1,True,False,True,False,128,844623,2018,0.9203543584387828,0.9201140511972319,0.037663402917915936,0.9147594572695064,0.9897294688676698,0.9729859976975181,0.9736777299375605,0.3856923427258035,0.3856923427258035,2.8,2_labelling
mendeley,b5000/w1/calls1/xs0/ext1,wl_tfidf/class_noflag/h4/el0/tfidf/df3/size0,LR(C=1.0),wl_tfidf,LR,class_noflag,4,False,tfidf,3,False,5000,1,True,False,True,False,128,1171018,2018,0.9250658350920933,0.9248837387765304,0.03778646961243254,0.9197373333757011,0.9909299979345737,0.9739605666460209,0.9741583387616974,0.40965094722274087,0.40965094722274087,3.7,2_labelling
mendeley,b5000/w1/calls1/xs0/ext1,wl_tfidf/dom_term/h1/el0/tfidf/df3/size0,LR(C=1.0),wl_tfidf,LR,dom_term,1,False,tfidf,3,False,5000,1,True,False,True,False,128,78953,2018,0.9113474962431528,0.910354149511968,0.0557241651318805,0.9063676697224385,0.9833306191512687,0.9509256832944241,0.9511139400390842,0.3475105102245255,0.3475105102245255,6.1,2_labelling
mendeley,b5000/w1/calls1/xs0/ext1,wl_tfidf/dom_term/h2/el0/tfidf/df3/size0,LR(C=1.0),wl_tfidf,LR,dom_term,2,False,tfidf,3,False,5000,1,True,False,True,False,128,373368,2018,0.9449025420597735,0.9449666972156325,0.024780195324542693,0.9415891469789168,0.989070121224639,0.9684867185104524,0.969221175386473,0.3758573188050334,0.3758573188050334,1.7,2_labelling
mendeley,b5000/w1/calls1/xs0/ext1,wl_tfidf/dom_term/h3/el0/tfidf/df3/size0,LR(C=1.0),wl_tfidf,LR,dom_term,3,False,tfidf,3,False,5000,1,True,False,True,False,128,691668,2018,0.9494732498665472,0.9495652895739115,0.019905329638883588,0.9462542301520471,0.991143491523808,0.9719575333110995,0.9721544780032094,0.41200502532615035,0.41200502532615035,2.6,2_labelling
mendeley,b5000/w1/calls1/xs0/ext1,wl_tfidf/dom_term/h4/el0/tfidf/df3/size0,LR(C=1.0),wl_tfidf,LR,dom_term,4,False,tfidf,3,False,5000,1,True,False,True,False,128,1010812,2018,0.9545761491018773,0.9546301550867076,0.015067088671911663,0.9516809392923531,0.992078891342686,0.9719854790937226,0.9726757995583166,0.3833863720990543,0.3833863720990543,3.4,2_labelling
mendeley,b5000/w1/calls1/xs0/ext1,wl_tfidf/seq_term/h1/el0/tfidf/df3/size0,LR(C=1.0),wl_tfidf,LR,seq_term,1,False,tfidf,3,False,5000,1,True,False,True,False,128,304813,2018,0.9167659223439775,0.9161908157522168,0.048972709204585664,0.9112005687866415,0.9871635738231043,0.9660449929083068,0.9677068603930665,0.3339991697850153,0.3339991697850153,8.1,2_labelling
